GEOID,GEOID10,NAME,18TOT,18TOTme,18BLACK,18Bme,2018_PB,17TOT,17TOTme,17BLACK,17Bme,2017_PB,16TOT,16TOTme,16BLACK,16Bme,2016_PB,15TOT,15TOTme,15BLACK,15Bme,2015_PB,14TOT,14TOTme,14BLACK,14Bme,2014_PB,13TOT,13TOTme,13BLACK,13Bme,2013_PB
1500000US210670039161,210670039161,"Block Group 1, Census Tract 39.16, Fayette County, Kentucky",11,16,0,11,0.00,1349,318,1115,291,82.65,1159,303,885,244,76.36,1150,313,924,233,80.35,993,301,761,217,76.64,1146,177,380,115,33.16
1500000US210670039162,210670039162,"Block Group 2, Census Tract 39.16, Fayette County, Kentucky",550,93,0,11,0.00,409,156,0,11,0.00,545,266,0,11,0,615,189,41,45,6.67,553,166,81,74,14.65,17,15,0,11,0
1500000US210670039171,210670039171,"Block Group 1, Census Tract 39.17, Fayette County, Kentucky",1203,204,311,72,25.85,1014,269,793,217,78.21,807,222,657,196,81.41,986,245,822,219,83.37,1057,231,875,233,82.78,0,11,0,11,0
1500000US210670039172,210670039172,"Block Group 2, Census Tract 39.17, Fayette County, Kentucky",25,14,0,11,0.00,764,150,202,83,26.44,703,114,180,75,25.6,668,184,218,123,32.63,811,225,217,117,26.76,791,272,181,145,22.88
1500000US210670039173,210670039173,"Block Group 3, Census Tract 39.17, Fayette County, Kentucky",0,11,0,11,0.00,621,139,135,63,21.74,782,207,144,95,18.41,945,241,358,217,37.88,821,267,289,249,35.2,1518,296,179,166,11.79
1500000US210670039181,210670039181,"Block Group 1, Census Tract 39.18, Fayette County, Kentucky",717,203,48,57,6.69,928,247,274,201,29.53,918,251,286,214,31.15,960,216,329,188,34.27,962,247,366,235,38.05,1868,369,195,148,10.44
1500000US210670033001,210670033001,"Block Group 1, Census Tract 33, Fayette County, Kentucky",1825,311,650,297,35.62,1057,197,222,97,21.00,1110,191,232,98,20.9,1066,188,178,81,16.7,1124,230,308,177,27.4,1699,346,207,191,12.18
1500000US210670024001,210670024001,"Block Group 1, Census Tract 24, Fayette County, Kentucky",1703,342,0,11,0.00,754,196,85,64,11.27,796,183,146,77,18.34,960,214,157,62,16.35,784,158,30,30,3.83,2362,574,766,411,32.43
1500000US210670024003,210670024003,"Block Group 3, Census Tract 24, Fayette County, Kentucky",978,263,16,27,1.64,1076,186,259,98,24.07,1019,175,199,84,19.53,832,155,131,73,15.75,919,156,100,65,10.88,1701,360,82,59,4.82
1500000US210670025001,210670025001,"Block Group 1, Census Tract 25, Fayette County, Kentucky",1024,151,0,11,0.00,1353,227,272,83,20.10,1341,248,246,104,18.34,1439,288,253,124,17.58,1355,232,246,131,18.15,1561,290,226,138,14.48
1500000US210670034052,210670034052,"Block Group 2, Census Tract 34.05, Fayette County, Kentucky",2185,491,354,223,16.20,819,250,32,39,3.91,699,209,32,43,4.58,705,209,51,52,7.23,743,217,54,57,7.27,1705,240,0,11,0
1500000US210670034053,210670034053,"Block Group 3, Census Tract 34.05, Fayette County, Kentucky",1343,438,426,373,31.72,590,147,0,11,0.00,541,168,0,11,0,544,212,0,11,0,502,146,0,11,0,1895,124,51,76,2.69
1500000US210670036002,210670036002,"Block Group 2, Census Tract 36, Fayette County, Kentucky",1816,177,9,14,0.50,781,179,64,55,8.19,759,231,77,79,10.14,698,246,99,125,14.18,551,163,75,85,13.61,1167,112,32,45,2.74
1500000US210670036003,210670036003,"Block Group 3, Census Tract 36, Fayette County, Kentucky",1588,176,41,47,2.58,796,201,149,119,18.72,777,192,105,137,13.51,804,276,0,11,0,937,232,39,48,4.16,876,230,18,21,2.05
1500000US210670040031,210670040031,"Block Group 1, Census Tract 40.03, Fayette County, Kentucky",1287,391,97,103,7.54,1644,246,115,77,7.00,1533,222,121,97,7.89,1357,191,166,103,12.23,1408,243,204,162,14.49,971,162,0,11,0
1500000US210670019001,210670019001,"Block Group 1, Census Tract 19, Fayette County, Kentucky",3164,490,1112,431,35.15,1339,281,53,58,3.96,1713,402,76,66,4.44,1518,332,48,53,3.16,1388,296,35,39,2.52,210,81,6,10,2.86
1500000US210670031022,210670031022,"Block Group 2, Census Tract 31.02, Fayette County, Kentucky",1239,248,362,151,29.22,2981,498,1037,339,34.79,3204,460,1040,341,32.46,3106,503,817,255,26.3,3277,453,921,227,28.1,1202,149,29,35,2.41
1500000US210670009003,210670009003,"Block Group 3, Census Tract 9, Fayette County, Kentucky",1275,470,121,118,9.49,1604,341,177,173,11.03,1404,298,50,62,3.56,1481,360,34,54,2.3,1407,331,25,40,1.78,1233,255,119,93,9.65
1500000US210670009001,210670009001,"Block Group 1, Census Tract 9, Fayette County, Kentucky",1403,455,382,211,27.23,765,440,418,389,54.64,820,465,436,408,53.17,862,473,164,108,19.03,911,480,117,97,12.84,2012,398,270,190,13.42
1500000US210670013001,210670013001,"Block Group 1, Census Tract 13, Fayette County, Kentucky",810,216,212,96,26.17,408,211,79,90,19.36,353,183,65,87,18.41,338,156,141,127,41.72,366,162,129,119,35.25,931,224,86,103,9.24
1500000US210670002004,210670002004,"Block Group 4, Census Tract 2, Fayette County, Kentucky",776,267,283,231,36.47,1842,406,657,188,35.67,1538,361,538,204,34.98,1402,276,320,204,22.82,1394,285,262,161,18.79,1703,310,50,57,2.94
1500000US210670002002,210670002002,"Block Group 2, Census Tract 2, Fayette County, Kentucky",1386,346,459,259,33.12,440,116,142,92,32.27,458,87,100,53,21.83,359,70,54,39,15.04,344,112,19,21,5.52,1521,427,137,166,9.01
1500000US210670002003,210670002003,"Block Group 3, Census Tract 2, Fayette County, Kentucky",730,131,18,21,2.47,1272,199,289,76,22.72,1164,176,303,97,26.03,1240,154,323,95,26.05,973,214,265,111,27.24,894,455,35,54,3.91
1500000US210670035011,210670035011,"Block Group 1, Census Tract 35.01, Fayette County, Kentucky",1566,278,77,68,4.92,660,104,19,20,2.88,636,132,18,18,2.83,704,119,16,18,2.27,722,120,17,17,2.35,2217,381,153,109,6.9
1500000US210670008021,210670008021,"Block Group 1, Census Tract 8.02, Fayette County, Kentucky",3539,690,376,158,10.62,917,141,192,111,20.94,931,156,190,109,20.41,994,175,222,131,22.33,991,203,145,98,14.63,2172,271,84,82,3.87
1500000US210670010002,210670010002,"Block Group 2, Census Tract 10, Fayette County, Kentucky",865,116,64,56,7.40,1473,397,0,11,0.00,1625,320,19,30,1.17,1749,361,16,26,0.91,1662,330,16,25,0.96,1366,350,168,191,12.3
1500000US210670010001,210670010001,"Block Group 1, Census Tract 10, Fayette County, Kentucky",706,186,376,118,53.26,1825,404,0,11,0.00,1681,367,0,11,0,1420,302,0,11,0,1534,291,0,11,0,2198,373,0,11,0
1500000US210670016002,210670016002,"Block Group 2, Census Tract 16, Fayette County, Kentucky",812,247,148,122,18.23,1963,359,7,14,0.36,1940,461,31,30,1.6,2119,359,71,84,3.35,2008,336,66,69,3.29,1944,416,0,11,0
1500000US210670020012,210670020012,"Block Group 2, Census Tract 20.01, Fayette County, Kentucky",627,264,146,121,23.29,1468,490,126,114,8.58,1213,377,121,149,9.98,1286,350,150,186,11.66,1119,330,128,134,11.44,2125,384,344,381,16.19
1500000US210670020013,210670020013,"Block Group 3, Census Tract 20.01, Fayette County, Kentucky",1981,410,476,247,24.03,527,195,85,72,16.13,819,450,318,388,38.83,833,402,319,366,38.3,918,348,266,308,28.98,1521,252,167,188,10.98
1500000US210670020021,210670020021,"Block Group 1, Census Tract 20.02, Fayette County, Kentucky",542,142,147,100,27.12,1872,501,0,11,0.00,1581,298,0,11,0,1376,304,0,11,0,1347,308,0,11,0,1747,405,241,265,13.8
1500000US210670020022,210670020022,"Block Group 2, Census Tract 20.02, Fayette County, Kentucky",1081,193,187,82,17.30,604,334,0,11,0.00,790,339,0,11,0,804,249,0,11,0,2056,332,99,97,4.82,1528,388,73,97,4.78
1500000US210670023023,210670023023,"Block Group 3, Census Tract 23.02, Fayette County, Kentucky",2139,401,9,19,0.42,1445,133,18,19,1.25,1396,119,17,19,1.22,1498,135,19,21,1.27,663,248,0,11,0,1995,343,80,123,4.01
1500000US210670023031,210670023031,"Block Group 1, Census Tract 23.03, Fayette County, Kentucky",1477,489,105,109,7.11,657,115,0,11,0.00,714,120,0,11,0,619,121,0,11,0,1421,153,10,14,0.7,2855,513,275,228,9.63
1500000US210670023032,210670023032,"Block Group 2, Census Tract 23.03, Fayette County, Kentucky",492,239,39,50,7.93,1846,363,57,87,3.09,1793,328,51,86,2.84,1870,289,99,102,5.29,589,134,0,11,0,1892,246,18,23,0.95
1500000US210670023033,210670023033,"Block Group 3, Census Tract 23.03, Fayette County, Kentucky",1560,359,0,11,0.00,643,139,0,11,0.00,636,153,17,26,2.67,683,153,65,81,9.52,713,152,60,80,8.42,1814,204,114,133,6.28
1500000US210670023034,210670023034,"Block Group 4, Census Tract 23.03, Fayette County, Kentucky",686,214,0,11,0.00,917,287,10,17,1.09,897,263,12,19,1.34,802,266,11,18,1.37,688,133,31,34,4.51,2792,379,11,17,0.39
1500000US210670029003,210670029003,"Block Group 3, Census Tract 29, Fayette County, Kentucky",1589,343,42,48,2.64,709,123,13,19,1.83,772,157,8,12,1.04,709,143,0,11,0,707,155,0,11,0,4296,640,9,17,0.21
1500000US210670023041,210670023041,"Block Group 1, Census Tract 23.04, Fayette County, Kentucky",1432,128,8,13,0.56,1012,153,0,11,0.00,865,185,0,11,0,829,200,0,11,0,944,185,0,11,0,1713,269,75,85,4.38
1500000US210670023042,210670023042,"Block Group 2, Census Tract 23.04, Fayette County, Kentucky",703,109,0,11,0.00,755,168,0,11,0.00,887,232,0,11,0,922,253,0,11,0,1044,253,0,11,0,2161,299,10,17,0.46
1500000US210670028002,210670028002,"Block Group 2, Census Tract 28, Fayette County, Kentucky",1211,223,0,11,0.00,1915,426,0,11,0.00,1929,422,0,11,0,2007,396,0,11,0,1842,380,0,11,0,1439,278,213,219,14.8
