GEOID,NAME,GEOID10,18TOT,18TOTme,18BLACK,18Bme,2018,17TOT,17TOTme,17BLACK,17Bme,2017,16TOT,16TOTme,16BLACK,16Bme,2016,15TOT,15TOTme,15BLACK,15Bme,2015,14TOT,14TOTme,14BLACK,14Bme,2014,13TOT,13TOTme,13BLACK,13Bme,2013
1500000US210670011002,"Block Group 2, Census Tract 11, Fayette County, Kentucky",210670011002,1260,345,147,121,11.67,1568,467,286,176,18.24,1480,436,254,124,17.16,1757,545,255,137,14.51,1979,443,418,294,21.12,565,120,455,126,80.53
1500000US210670011003,"Block Group 3, Census Tract 11, Fayette County, Kentucky",210670011003,439,182,430,179,97.95,798,361,0,11,0,779,357,19,34,2.44,756,378,21,36,2.78,372,367,22,40,5.91,609,128,566,123,92.94
1500000US210670011001,"Block Group 1, Census Tract 11, Fayette County, Kentucky",210670011001,682,263,160,131,23.46,1820,357,397,190,21.81,1861,395,342,190,18.38,1442,347,199,131,13.8,1510,395,227,189,15.03,872,202,717,166,82.22
1500000US210670042071,"Block Group 1, Census Tract 42.07, Fayette County, Kentucky",210670042071,1986,307,1883,310,94.81,1803,241,1723,241,95.56,1779,226,1725,229,96.96,1801,230,1748,238,97.06,1755,222,1712,222,97.55,1073,239,1059,236,98.7
1500000US210670042072,"Block Group 2, Census Tract 42.07, Fayette County, Kentucky",210670042072,1759,226,1564,220,88.91,2384,298,2064,318,86.58,2365,274,2054,281,86.85,2096,266,1900,270,90.65,2187,266,1913,236,87.47,864,217,810,212,93.75
1500000US210670042082,"Block Group 2, Census Tract 42.08, Fayette County, Kentucky",210670042082,3590,545,2471,471,68.83,1184,262,1066,277,90.03,1178,273,1081,285,91.77,1131,320,825,239,72.94,1142,325,870,234,76.18,1858,386,1740,386,93.65
1500000US210670042091,"Block Group 1, Census Tract 42.09, Fayette County, Kentucky",210670042091,1960,311,1736,269,88.57,2751,316,2164,305,78.66,2612,347,1992,301,76.26,2459,325,1871,307,76.09,2443,385,1851,314,75.77,1400,282,1254,264,89.57
1500000US210670042101,"Block Group 1, Census Tract 42.10, Fayette County, Kentucky",210670042101,1851,401,1439,392,77.74,540,260,269,127,49.81,735,360,301,156,40.95,455,188,284,144,62.42,341,167,236,129,69.21,905,272,817,273,90.28
1500000US210670042102,"Block Group 2, Census Tract 42.10, Fayette County, Kentucky",210670042102,3343,362,2621,324,78.4,2450,447,1896,383,77.39,2567,507,1776,366,69.19,2475,579,1640,356,66.26,2578,445,1626,352,63.07,967,281,910,266,94.11
1500000US210670037043,"Block Group 3, Census Tract 37.04, Fayette County, Kentucky",210670037043,959,326,489,141,50.99,629,226,296,136,47.06,617,196,345,117,55.92,543,194,347,156,63.9,592,209,361,129,60.98,563,213,550,218,97.69
