GEOID,NAME,GEOID10,18TOT,18TOTme,18BLACK,18Bme,2018,17TOT,17TOTme,17BLACK,17Bme,2017,16TOT,16TOTme,16BLACK,16Bme,2016,15TOT,15TOTme,15BLACK,15Bme,2015,14TOT,14TOTme,14BLACK,14Bme,2014,13TOT,13TOTme,13BLACK,13Bme,2013
1500000US210670003001,"Block Group 1, Census Tract 3, Fayette County, Kentucky",210670003001,413,225,127,182,30.75,2794,356,141,147,5.05,2516,342,123,124,4.89,2293,383,136,121,5.93,2133,350,111,129,5.2,1769,268,51,65,2.88
1500000US210670020011,"Block Group 1, Census Tract 20.01, Fayette County, Kentucky",210670020011,2213,593,1407,535,63.58,2217,357,0,11,0,2264,339,70,96,3.09,2600,396,80,91,3.08,2745,490,116,120,4.23,1788,255,16,25,0.89
1500000US210670039182,"Block Group 2, Census Tract 39.18, Fayette County, Kentucky",210670039182,2630,386,185,249,7.03,2076,249,71,83,3.42,1954,173,64,76,3.28,1933,239,7,11,0.36,1884,256,9,15,0.48,924,262,155,175,16.77
1500000US210670040033,"Block Group 3, Census Tract 40.03, Fayette County, Kentucky",210670040033,2487,354,153,139,6.15,1921,235,56,42,2.92,1836,176,28,33,1.53,1935,257,44,41,2.27,1994,260,47,51,2.36,2549,271,221,63,8.67
1500000US210670040071,"Block Group 1, Census Tract 40.07, Fayette County, Kentucky",210670040071,872,153,6,10,0.69,3268,489,152,191,4.65,3222,583,140,180,4.35,2878,490,30,50,1.04,2772,403,28,49,1.01,2358,505,364,302,15.44
1500000US210670041032,"Block Group 2, Census Tract 41.03, Fayette County, Kentucky",210670041032,1342,198,91,105,6.78,3944,449,143,133,3.63,3817,503,102,97,2.67,4499,595,111,111,2.47,4562,651,89,95,1.95,2247,434,216,159,9.61
1500000US210670041043,"Block Group 3, Census Tract 41.04, Fayette County, Kentucky",210670041043,947,214,0,11,0,2051,367,56,56,2.73,2028,339,55,57,2.71,1879,348,41,63,2.18,1684,276,48,73,2.85,2925,402,139,95,4.75
1500000US210670041053,"Block Group 3, Census Tract 41.05, Fayette County, Kentucky",210670041053,868,263,188,237,21.66,2346,244,88,77,3.75,2372,258,79,66,3.33,2300,247,49,54,2.13,2287,289,52,58,2.27,1726,412,227,271,13.15
1500000US210670041071,"Block Group 1, Census Tract 41.07, Fayette County, Kentucky",210670041071,1195,286,45,63,3.77,1515,250,35,36,2.31,1474,280,93,90,6.31,1546,334,110,102,7.12,1505,262,95,88,6.31,2062,463,66,54,3.2
1500000US210670042043,"Block Group 3, Census Tract 42.04, Fayette County, Kentucky",210670042043,1812,352,12,20,0.66,3393,345,63,47,1.86,3388,348,62,49,1.83,3387,351,33,35,0.97,3105,349,39,48,1.26,1807,511,113,166,6.25
