GEOID10,NAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
470370127022,127.02.2,14.47,15.67,13.32,15.88,9.52,10.72,12.55,16.28,16.05,13.92,16.03,19.84,17.6,18.32,12.86,9.29
470370128011,128.01.1,3.69,6.04,8.31,4.67,11.49,9.05,16.7,10.96,8.64,12.77,4.03,10.54,8.22,5.23,7.51,3.2
470370128012,128.01.2,11.84,14.22,14.39,12.27,11.64,11.78,13.52,12.89,15.5,8.26,11.2,14.73,15.79,13.14,3.55,11.72
470370128013,128.01.3,14.1,5.73,4.48,12.04,6.42,13.6,10.24,9.02,6.87,6.73,6.35,13.75,13.06,17.88,14.83,5.67
470370128014,128.01.4,2.74,2.71,3.91,1.45,0.96,4.02,3.51,3.01,2.75,2.04,3.7,3.3,2.64,4.65,8.5,5.87
470370128021,128.02.1,7.23,11.92,8.85,9.26,4.5,7.51,8.53,10.69,9.26,7.91,7.2,9.24,6.4,8.38,4.11,4.55
470370128022,128.02.2,6.25,9.26,8.33,6.06,5.56,6.41,16.67,7.78,9.38,12.75,9.49,4.6,6.25,13.01,7.58,9.02
470370128023,128.02.3,12.38,6.85,16.95,11.86,5.56,12.2,9.87,10.9,10.36,2.82,9.46,7.79,11.25,7.23,10.47,11.24
470370128024,128.02.4,11.04,23.23,6.13,19.47,6.89,7.35,15.74,25.42,18.35,0,19.35,9.38,9.09,17.65,8.57,50
470370130001,130.1,0,25,25,0,100,50,25,0,50,0,25,0,50,0,50,50
470370131001,131.1,3.85,7.41,3.57,1.72,1.67,3.23,7.81,1.52,4.41,1.43,1.37,3.95,1.27,1.22,2.35,2.27
470370131002,131.2,1.61,6.19,0,4.34,1.4,2.71,2.63,0,6.2,4.82,3.36,8.36,5.88,4.62,1.74,2.48
470370132011,132.01.1,6.79,5.97,5.94,5.13,7.47,6.27,4.29,4.28,5.43,2.32,4.57,2.63,2.6,4.76,2.89,2.14
470370132012,132.01.2,12.12,5.94,11.65,12.38,12.15,11.93,9.01,7.96,9.57,6.84,3.2,4.51,2.84,2.68,2.55,1.21
470370132021,132.02.1,3.48,7.56,5.69,7.87,9.16,7.41,7.91,6.29,8.16,8.61,7.1,7.56,6.77,6.01,2.35,4.02
470370132022,132.02.2,8.96,8.78,11.14,8.45,8.78,12.93,16.93,8.32,8.63,7.14,8.28,8.1,5,5.71,3.99,3.13
470370132023,132.02.3,3.52,11.36,4.34,5.18,6.01,6.83,5.94,5.9,5.03,10,4.87,4.75,9.27,11.31,2.94,4.32
470370133001,133.1,2.89,11.39,2.8,2.76,4.52,10.7,8.78,8.65,5.97,6.72,5.79,4.89,5.62,4.75,1.56,1.54
470370133002,133.2,17.02,11.64,11.58,10.47,8.85,7.77,6.7,12.31,11.73,11.17,7.9,9.13,12.65,6.85,5.79,3.04
470370133003,133.3,6.69,8.84,6.13,4.34,5.16,7.67,8.45,4.61,4.98,6.58,4.69,4.83,4.26,4.07,2.6,0.62
470370133004,133.4,10.93,17.26,14.28,17.3,18.34,29.39,20.78,21.28,28.76,32.42,40.84,36.28,40.58,23.36,15.97,8.54
470370134001,134.1,3.55,1.57,3.11,1.16,1.53,1.9,2.63,1.12,1.11,1.1,2.48,1.37,1.32,0.32,0.31,0.6
470370134002,134.2,2.28,2.82,2.24,1.11,3.3,1.63,3.24,2.14,2.65,1.05,0.51,1.48,2.4,0.47,0.45,1.32
470370134003,134.3,2.44,4.07,1.22,2.85,1.22,2.03,1.63,1.22,1.22,1.63,1.17,0.38,0.36,1.4,1.68,0.33
470370135001,135.1,3.82,3.83,5.01,4.64,9.32,5.07,7.83,5.51,5.93,5.16,3.5,6.1,2.99,7.7,3.96,4.24
470370135002,135.2,11.48,6.06,7.44,9.22,8.58,5.59,8.85,5.3,7.7,6.49,6.98,7.08,4.78,4.29,3.83,2.78
470370136011,136.01.1,7.37,17.71,19.07,15.75,18.99,17.73,20.69,21.17,14.41,25.27,17.48,10.96,13.88,8.61,12.49,7.39
470370136012,136.01.2,16.09,7.66,5.02,7.4,6.98,9.5,16.99,14.27,13.32,22.73,15.56,20.92,16.09,12.18,15.48,13.4
470370136013,136.01.3,21.48,4.76,3.29,10.66,11.07,23.5,34.57,23.56,33.55,31.32,24.55,21.12,22.58,22.95,37.63,38.42
470370136014,136.01.4,8.34,9.83,14,13.71,9.24,18.49,25.65,17.01,17.91,19.7,17.29,23.61,26.03,21.69,24.05,19.62
470370136021,136.02.1,3.14,2.38,4.06,4.89,4.09,2.53,6.21,3.03,1.68,5.66,6.55,3.72,7.37,12.8,23.6,22.52
470370137001,137.1,3.08,3.72,9.59,7.74,4.23,5.76,8.81,5.18,4.93,4.16,5.32,5.73,5.28,3.84,6.4,8.05
470370137002,137.2,11.25,11,9.05,7.2,9.76,11.15,14.04,14.27,12.49,10.29,9.61,12.72,10.62,22.21,17.35,14.41
470370137003,137.3,13.4,9.74,12.34,13.58,15.19,19.45,17.07,13.52,9.76,7.55,6.49,32.57,28.68,49.15,62.08,26.01
470370137004,137.4,67.06,69.63,43.96,43.52,35.34,43.83,54.02,53.35,39.87,33.58,27.97,30.35,35.94,34.07,52.4,43.14
470370137005,137.5,20.35,14.29,13.86,14.1,17.45,18.18,23.01,17.24,16.81,18.03,21.93,13.09,17.95,9.05,14.78,8.7
470370138001,138.1,10.1,12.23,9.78,9.88,11.02,10.07,11.78,11.36,12.03,13.81,9.28,16.73,16.53,15.29,12.51,9.28
470370138002,138.2,12.24,16.93,17.28,17.62,9.3,13.69,15.99,17.59,12.34,10.91,13.06,6.98,8.55,6.15,7.12,8.6
470370139001,139.1,11.2,12.21,11.89,9.52,9.39,11.35,15.69,13.73,12.69,10.9,16.89,15.24,15.89,14.58,10.84,10.55
470370142001,142.1,37.49,30.27,37.03,34.54,18.99,27.56,36.45,27.39,27.57,25.92,23.63,23.95,26.24,26.5,39.41,40.61
470370142002,142.2,14.78,15,10.14,10.11,7.69,12.43,15.81,7.88,11,16.71,10.19,9.67,17.25,11.25,12.82,9.95
470370143001,143.1,7.57,15.21,8.22,7.67,7.11,8.33,13.15,15.02,10.86,11.52,13.5,5.69,9.39,9.66,9.91,9.64
470370143002,143.2,14.6,18.11,9.1,12.31,11.74,13.07,14.43,18.37,18.14,9.45,10.49,8.39,12.75,11.87,11.9,15.34
470370144001,144.1,35.99,30.79,41.2,40.65,13.35,2.54,4.54,7.02,19.25,24.14,26.1,23.72,15.57,26.94,29.41,12.2
470370144002,144.2,7.58,12.21,9.28,4.62,4.61,7.47,5.16,6.86,1.71,3.41,3.13,4.82,6.71,4.18,6.66,7.38
470370148001,148.1,7.77,9.77,6.24,7.02,9.15,15.39,13.03,42.9,51.95,57.78,32.61,50.35,56.94,57.14,73.33,69.28
470370148002,148.2,33.16,27.89,34.47,38.12,16.27,20.62,35.38,28.69,25.52,31.79,21.56,18.71,26.48,37.39,45.46,35.24
470370148003,148.3,78.17,78.12,68.68,67.9,38.44,56.23,79.04,48.04,43.39,50.93,40.15,38.44,47.13,57,61.17,60.22
470370151001,151.1,5.08,5.03,3.73,1.23,4.88,3.62,1.2,4.74,5.87,2.33,3.34,5.34,6.15,2.96,2.85,5.5
470370151002,151.2,2.73,2.73,4.55,10,6.36,0,7.27,10.91,6.36,5.45,6.15,2.55,0.82,1.6,3.87,2.26
470370151003,151.3,6.77,8.97,7.8,5.53,6.59,15.28,10.85,10.78,12.85,7.45,14.24,12.66,6.54,5.39,5.19,7.5
470370151004,151.4,6.65,8.33,4.68,10.65,6.8,6.97,7.96,13.52,5.06,4.46,3.04,3.67,3.78,4.81,1.77,2.37
470370152001,152.1,1.83,2.41,6.56,8.25,4.08,3.46,7.99,5.08,6.14,2.76,4.29,4.68,4.55,4.91,4.3,2.33
470370152002,152.2,2.12,6.28,5.16,7.13,4.02,6.94,3.92,4.84,3.82,3.77,4.5,6.03,1.65,2.38,2.29,1.47
470370153001,153.1,0,2.72,2.69,0,0,10.42,0,5.1,5.05,7.5,4.72,2.24,4.26,0,1.94,0
470370153002,153.2,0,5.32,4.79,1.74,2.39,5.88,4.78,5.73,6.57,3.93,1.08,3.1,3.47,2.87,1.84,1.33
470370153003,153.3,2.99,6.81,4.59,5.41,6.25,3.95,4.79,2.42,4.08,2.48,4.75,6.08,5.11,6.32,4.74,6.54
470370153004,153.4,4.31,7.12,8.47,4.2,9.72,13.77,13.66,14.9,13.44,4,6.37,18.29,11.7,5.62,2.16,7.29
470370154011,154.01.1,27.44,30.6,18.81,27.15,13.39,18.95,31.09,19.06,10.52,15.15,18.57,12.3,11.01,10.68,6.05,6.72
470370154012,154.01.2,11.24,20.41,28.04,17.24,0,7.46,27.97,39.47,12.42,11.76,16.82,16.07,25.64,4.92,9.45,4.55
