GEOID10,NAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
470370135002,135.2,7.28,4.04,5.36,6.76,5.72,3.29,1.7,2.47,2.57,2.29,3.3,5.66,4.1,2.64,2.55,2.16
470370137001,137.1,2.47,2.86,6.66,4.99,4.23,4.65,3.78,2.59,1.71,2.71,2.3,3.47,2.9,2.17,3.61,3.38
470370137002,137.2,9.47,6.94,6.79,4.98,8.13,7.43,6.76,7.65,6.5,6.86,4.8,8.48,4.62,10.88,8.45,10.48
470370137003,137.3,8.66,6.3,8.23,10.56,11.16,13.71,8.86,7.1,6.62,3.6,3.61,19.9,11.62,13.11,8.4,5.49
470370137004,137.4,9.44,7.56,10.07,9.18,10.63,12.56,6.24,10.57,9,8.02,6.74,5.97,8.43,7.65,11.56,10.78
470370137005,137.5,11.23,9.52,8.58,10.26,12.46,9.09,8.85,6.9,3.92,7.65,11.23,7.33,10.77,5.03,10.34,5.31
470370138001,138.1,4.54,5.1,5.66,6.76,8.92,6.36,5.36,3.79,5.47,8.29,7.1,12.41,10.13,11.07,7.82,4.12
470370138002,138.2,5.04,7.05,8.98,10.16,7.97,9.78,7.04,5.65,4.32,3.64,5.93,4.07,6.27,3.35,2.19,3.76
470370139001,139.1,8.35,8.65,9.42,7.71,7.56,7.64,6.32,8.05,6.7,7.02,8.68,8.64,11.92,8.15,6.46,6.49
470370142001,142.1,8.86,5.82,9.19,9.91,8.66,9.92,5.98,9.4,7.16,3.14,6.16,7.82,10.4,7.54,8.6,13.38
470370142002,142.2,4.57,4.28,5.07,5.32,5.84,5.55,7.64,1.58,3.93,7.31,4.18,4.7,10.2,4.97,3.66,4.45
470370143001,143.1,4.66,8.19,7.05,5.9,4.74,7.14,6.58,4.81,7.24,7.27,6.46,5.12,5.52,6.44,6.26,7.61
470370143002,143.2,8.08,11.87,4.71,9.15,9.83,8.29,5.77,8.38,10.04,5.54,4.77,5.9,6.98,5.34,4.06,8.81
470370144001,144.1,7.2,4.92,8.02,11.15,9.47,1.53,1.6,1.4,8.59,7.52,3.73,6.47,3.97,7.27,5.7,3.57
470370144002,144.2,5.25,6.98,5.8,2.89,4.03,4.6,2.87,4,0.57,1.14,0,2.89,3.13,0.42,2.74,4.06
470370148001,148.1,5.97,3.66,3.12,5.75,7.19,11.38,2.74,14.06,11.54,17.78,10.87,19.15,13.19,16.33,22,15.03
470370148002,148.2,4.18,3.95,5.21,10.71,8.01,5.28,6.57,7.87,4.34,6.15,4.46,3.36,5.57,6.31,10.27,7.86
470370148003,148.3,10.98,13.24,8.09,12.79,12,12.32,7.23,10.93,7.12,9.49,9.64,13.65,14.66,14.08,9.53,13.41
